Comb	(Combined school team)
X	(not listed)
ACG Parnel	ACG Parnell College
Strath	ACG Strathallan
Aotea	Aotea
Ara	Ara Institute of Canterbury
Ashburton	Ashburton College
AGS	Auckland Grammar School
AIC	Auckland International College
AUT	Auckland University of Technology
Avondale	Avondale College
Avonside	Avonside Girls High School
BDSC	Botany Downs Secondary College
BurnsideHS	Burnside High School
Cashmere H	Cashmere High School
C-M	Cashmere-Amuri
Christ's	Christ's College
ChristchurchBoys	Christchurch Boys High School
CGHS	Christchurch Girls High
Columba	Columba College
CompuTech	CompuTech Club
Diocesan	Diocesan
EIT	Eastern Institute of Technology
EGGS	Epsom Girls Grammar School
Fraser HS	Fraser High School
Hagley	Hagley College
HBHS	Hamilton Boys' High School
HHS	Hillcrest High School
Howick Col	Howick College
JHC	James Hargest College
JMCG	John McGlashan College
Kaiapoi	Kaiapoi High School
Kristin	Kristin School
Lincoln	Lincoln High School
LBC	Long Bay College
Lynfield	Lynfield College
MacC	Macleans College
Marian	Marian
Middleton	Middleton Grange School
Mozilla	Mozilla
MAGS	Mt Albert Grammar School
MRGS	Mt Roskill Grammar School
Navman	Navman Technology NZ Ltd.
NPBHS	New Plymouth Boys' High School
Newlands C	Newlands College
Onslow	Onslow College
OSC	Ormiston Senior College
PN Int	Palmerston North Intermediate Normal School
PHS	Papanui High School
Paraparaumu	Paraparumu
Pukekohe	Pukekohe
RangioraNewLife	Rangiora New Life School
Rangitoto	Rangitoto College
Rolleston	Rolleston
SKC	Saint Kentigern College
Samuel Mar	Samuel Marsden Whitby
Queenstown	SIT Queenstown Campus
SIT	Southern Institute of Technology
STAC	St Andrews College
St Dominics	St Dominics
St Hildas	St Hilda's
St Johns	St Johns College
St Marys	St Mary's
SPC	St. Paul's Collegiate
SunCo	Sunderland College
Tapawera	Tapawera
TBC	Tauranga Boys' College
Tawa	Tawa College
U Auckland	University of Auckland
U Cantab	University of Canterbury
Otago	University of Otago
U Waikato	University of Waikato
VC	Verdon College
VUW	Victoria University of Wellington
Waitakere	Waitakere College
WEG	Wellington East Girls
WHS	Wellington High School
WBHS	Westlake Boys High School
WA	Whampoa Academy
Whitby	Whitby
Whitireia	Whitireia New Zealand
